number,title,detail_url,dozierende
551-0209-00L,Sustainable Plant Systems (Seminar),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194296&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Paschke, S. F. Bender, G. S. Bhullar, F. Liebisch"
551-0120-00L,Plant Biology Colloquium (Autumn Semester),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193846&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. C. Zeeman, K. Bomblies, O. Voinnet"
551-1615-00L,NMR Methods for Studies of Biological Macromolecules,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192741&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. D. Gossert
551-1713-00L,Current Topics in Molecular Health Sciences,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193485&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,I. Zanini
402-0368-07L,Lecture Series: Space Research and Exploration,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194469&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. P. Quanz
551-0125-00L,Grundlagen der Biologie I: von Molekülen zur Biochemie der Zellen,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194371&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"J. Vorholt-Zambelli, N. Ban, K. Locher, J. Piel"
529-1001-01L,Allgemeine Chemie (für Biol./Pharm.Wiss.),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193210&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Cvengros
529-1011-00L,Organische Chemie I (für Biol./Pharm.Wiss./HST),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193393&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,C. Thilgen
402-0073-00L,Physik I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193179&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. U. Donner
401-0291-00L,Mathematik I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192849&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Caspar
535-1001-00L,Praktikum Allgemeine Chemie (für Biol./Pharm. Wiss.),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193383&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. Gruber, J. Hall"
551-0127-00L,Fundamentals of Biology III: Multicellularity,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194668&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Wutz, N. Aceto, M. Künzler, O. Y. Martin, M. Stoffel, S. Werner, S. C. Zeeman"
551-1005-00L,Bioanalytics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194439&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. Picotti, F. Allain, V. Korkhov, M. Pilhofer, R. Schlapbach, K. Weis"
