number,title,detail_url,dozierende
101-0119-00L,Structural Masonry,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194053&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Weber
101-0129-00L,Non Destructive Evaluation & Rehabilitation of Existing Structures,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193175&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. Herraiz Gómez, G. Kocur"
101-0159-00L,Method of Finite Elements II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193216&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"E. Chatzi, K. Tatsis, K. Vlachas"
101-0189-00L,Seismic Design of Structures II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193557&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,B. Stojadinovic
101-0123-00L,Structural Design,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193615&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"J. Pauli, F. Bertagna"
101-0169-00L,Timber Structures III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193033&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Frangi, P. Coutinho Palma, R. Jockwer, M. Klippel, M. Muster, S. Schilling"
101-0120-00L,Structural Glass Design and Facade Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194553&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,V.‑A. Silvestru
101-0139-00L,Scientific Machine and Deep Learning for Design and Construction,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193669&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. Bickel, A. Müller"
101-0138-11L,Bridge Design: Project Competition,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192447&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,W. Kaufmann
101-0121-00L,Fatigue and Fracture in Materials and Structures,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=196398&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Taras, H. Heydarinouri"
101-0191-00L,Seismic and Vibration Isolation,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=200538&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,B. Stojadinovic
