number,title,detail_url,dozierende
052-0537-25L,Freies Zeichnen (HS),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195344&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,H. E. Franzen
052-0557-25L,BUK Konstruktionslabor,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195345&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0559-25L,Analoge Fotografie,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195346&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Barba
052-0561-25L,Territories of Play - Deep Space,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195347&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Rauber
052-0569-25L,Lecture Series Design and Architecture (Ringvorlesung): IEA Evenings with Guests,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195348&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Fonteyne
052-0579-25L,Understanding Light,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195350&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Barba, P. Anantha Murthy"
052-0583-25L,Archives of the Living,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195351&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Caruso, M. Conen"
052-0587-25L,Neu denken: Architekturen der Transformation,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195353&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0549-25L,Hybrider Modellbau: 3D-Druck für den Entwurf,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195518&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0599-25L,Territories of Sound,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195818&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Guiness
052-5503-00L,Vibrational Architectures,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195838&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. N. Ghantous
052-5505-00L,Moving Images After Linearity,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195839&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Narula, S. N. Ghantous"
052-5507-00L,Art in Public Space,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195842&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Barba
052-5509-00L,Exhibition as Medium and Space as Situated Context,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195843&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Barba
052-0585-25L,Unveiling Habitats,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195352&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Gradin, M. Conen"
052-0669-25L,Lehmbau Workshop,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=197478&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,I. Hischier
052-0813-25L,"History, Criticism and Theory in Architecture: “Architecture and the Environment: A History",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195384&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Stalder, L. Groen"
052-0817-25L,Theory of Architecture: The Quest for Identity,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195385&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0821-25L,Architecture and Photography,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195386&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Wootton
052-0823-25L,History of Art and Architecture:The School of (Sub)Curating,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195388&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0825-25L,Spezialfragen zur Kunst- und Architekturgeschichte: Architektur im erweiterten Feld,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195389&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Ursprung
052-0827-25L,Seminar History and Theory of Urban Design: 'Sites-and-Services',https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195390&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Avermaete
052-0833-25L,"PhD Teaching: The Traveller’s Gaze on Architecture: Medievalism, Orientalism, Nationalism",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195391&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"D. Müller, M. Delbeke, C. Rachele"
052-0839-25L,Back to the Future: Histories and Prospects of Visionary Architecture,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195393&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,D. Vogiatzaki
052-0843-25L,Kunst- und Architekturgeschichte: Räumliche Geschichten kultureller Verschiebung,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195394&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Gnehm
052-0845-25L,Reflexionen über Ausstellungs- und Kunstpraxis heute. Kolonial geprägt? Fokus Graphische Sammlung,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195395&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Ursprung
052-0851-25L,"The Science of Human Settlements: Key Debates on Environment, Urbanisation and Development",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195396&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Häusler
052-0921-25L,PhD Teaching II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195400&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Delbeke
063-0861-25L,Integrierte Disziplin Geschichte und Theorie der Architektur (GTA),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195682&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0859-25L,History of Art and Architecture: Special Topics - Conclave: Architecture under Political Disruption,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195798&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Gigone, M. Delbeke"
052-0725-25L,ACTION! On the Filmed City: Video Games,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195382&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,H. Klumpner
052-0731-25L,"Global Housing Issues, Challenges and Strategies",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195383&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. E. Duyne Barenstein
063-0761-25L,Integrierte Disziplin Landschaft und Urbane Studien (LUS),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195658&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0715-25L,Topology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=196638&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Vollmer, P. Urech"
101-0577-00L,An Introduction to Sustainable Development in the Built Environment,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193374&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"G. Habert, A. Komkova"
101-0531-00L,Digital Creativity for Circular Construction,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194830&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,C. De Wolf
052-0615-25L,Bauprozess: Ausführung,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195356&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Eglin
052-0641-25L,Immersive Architecture,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195359&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. Daro, F. Gramazio, M. Kohler"
052-0653-25L,Future Cities Laboratory Indicia 03: Actions and Evidence for Future Settlements,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195378&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Menz
052-0655-25L,Architectural Acoustics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195379&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Xydis, C. Frick, J. Strauss"
063-0661-25L,Integrierte Disziplin Technologie in der Architektur (ITA),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195660&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0911-25L,Repair: Keep in Place,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195397&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Langenberg
052-0913-25L,Denkmalpflege: Schatzalp Keepsake,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195398&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Langenberg
052-0915-25L,Bauaufnahme und Bauforschung,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195399&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Holzer
063-0961-25L,Integrierte Disziplin Denkmalpflege und Bauforschung (IDB),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195679&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0903-00L,Baugeschichte I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195758&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Holzer
052-0597-00L,Konstruktion I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195200&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"D. Mettler, D. Studer"
052-0665-00L,Tragwerksentwurf I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195203&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. Block, L. Enrique Monzo"
052-0667-00L,Digitales Entwerfen I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195204&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Gramazio, H. Hassan"
052-0593-00L,Studio Foundations I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195180&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Boltshauser, M. Delbeke, J. Pauli, M. Voser, P. Block, S. Brückner, D. Bürgy, C. Caccia, M. V. Fernandes Nequinha, B. Germann, F. Gramazio, H. Harmeier, D. Itten, J. Knöpfel, K. Möhring Szeifert, C. M. Puglisi, Y. Rechsteiner, S. Rohr, M. Rösch, A. Schlüter, E. Schneuwly, L. Stähelin, N. Tahiraj, W. S. Toccaceli, L. Ugolini, M. Urbaite, A. Vaynberg, C. Viguera Andreu, N. Wild, J. Zachmann"
052-0595-00L,Vorlesung Foundations I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195199&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Bettini Oberkalmsteiner, P. Block, R. Boltshauser, M. Delbeke, F. Gramazio, J. Pauli, A. Schlüter, M. Voser"
052-5501-00L,Künstlerische Grundlagen I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195202&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Barba, H. E. Franzen, M. Narula"
052-5510-00L,Praktikum BSc Architektur,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=196461&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Block
052-1205-25L,Seminarwoche Herbstsemester 2025,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195465&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
063-0313-25L,History of Art and Architecture V: Antiquity and Medieval,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195478&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. Rachele, M. Delbeke"
063-0863-25L,Intersectional Histories: How Architectures Were Also Made,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195484&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Hultzsch
063-0801-25L,History of Art and Architecture VII: Burning Down the House: Architecture and Political Dissent,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195485&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Critchley, M. Delbeke"
063-0803-25L,History and Theory in Architecture IX:Vulcan's Workshop: Architecture and its Myths,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195486&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"P. Ursprung, L. Schädler Meiler"
063-0805-25L,History and Theory in Architecture IX: 1990s Theories that Inspired Architecture,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195487&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. Nuijsink, M. Novas Ferradas"
